Gene stable ID	NCBI gene (formerly Entrezgene) ID	HGNC symbol	Gene stable ID
ENSG00000277317	3804	KIR2DL3	ENSG00000277317
ENSG00000277630	100288966		ENSG00000277630
ENSG00000273755	79166	LILRP2	ENSG00000273755
ENSG00000278755	3802	KIR2DL1	ENSG00000278755
ENSG00000277028	115653	KIR3DL3	ENSG00000277028
ENSG00000274830	3804	KIR2DL3	ENSG00000274830
ENSG00000277362	3805	KIR2DL4	ENSG00000277362
ENSG00000277616	3802	KIR2DL1	ENSG00000277616
ENSG00000274724	115653	KIR3DL3	ENSG00000274724
ENSG00000263243	3859	KRT12	ENSG00000263243
ENSG00000274782	3802	KIR2DL1	ENSG00000274782
ENSG00000277554	3804	KIR2DL3	ENSG00000277554
ENSG00000273794	3802	KIR2DL1	ENSG00000273794
ENSG00000275276	3802	KIR2DL1	ENSG00000275276
ENSG00000276779	3805	KIR2DL4	ENSG00000276779
ENSG00000263057	54474	KRT20	ENSG00000263057
ENSG00000274108	3804	KIR2DL3	ENSG00000274108
ENSG00000277885	100132285	KIR2DS2	ENSG00000277885
ENSG00000278430	3805	KIR2DL4	ENSG00000278430
ENSG00000277356	3802	KIR2DL1	ENSG00000277356
ENSG00000276011	3803	KIR2DL2	ENSG00000276011
ENSG00000274945	3805	KIR2DL4	ENSG00000274945
ENSG00000276243	79166	LILRP2	ENSG00000276243
ENSG00000263309	25984	KRT23	ENSG00000263309
ENSG00000275937	553128	KIR2DL5B	ENSG00000275937
ENSG00000278207	3802	KIR2DL1	ENSG00000278207
ENSG00000274955	3805	KIR2DL4	ENSG00000274955
ENSG00000278306	3808	KIR2DS3	ENSG00000278306
ENSG00000274786	115653	KIR3DL3	ENSG00000274786
ENSG00000275080	3802	KIR2DL1	ENSG00000275080
ENSG00000276820	3802	KIR2DL1	ENSG00000276820
ENSG00000262299	343052		ENSG00000262299
ENSG00000261992	57459	GATAD2B	ENSG00000261992
ENSG00000275699	3805	KIR2DL4	ENSG00000275699
ENSG00000273887	3804	KIR2DL3	ENSG00000273887
ENSG00000275732	3805	KIR2DL4	ENSG00000275732
ENSG00000277850	3805	KIR2DL4	ENSG00000277850
ENSG00000278495	3802	KIR2DL1	ENSG00000278495
ENSG00000275848	3805	KIR2DL4	ENSG00000275848
ENSG00000278805	3802	KIR2DL1	ENSG00000278805
ENSG00000278074	3805	KIR2DL4	ENSG00000278074
ENSG00000277750	3805	KIR2DL4	ENSG00000277750
ENSG00000277725	3803	KIR2DL2	ENSG00000277725
ENSG00000274189	3805	KIR2DL4	ENSG00000274189
ENSG00000275237	3805	KIR2DL4	ENSG00000275237
ENSG00000276590	3804	KIR2DL3	ENSG00000276590
ENSG00000273775	3811	KIR3DL1	ENSG00000273775
ENSG00000275659	3811	KIR3DL1	ENSG00000275659
ENSG00000274193	3805	KIR2DL4	ENSG00000274193
ENSG00000275750	3802	KIR2DL1	ENSG00000275750
ENSG00000278079	3811	KIR3DL1	ENSG00000278079
ENSG00000273575	3805	KIR2DL4	ENSG00000273575
ENSG00000281250	105374250	LINC02054	ENSG00000281250
ENSG00000277076	3805	KIR2DL4	ENSG00000277076
ENSG00000276501	3811	KIR3DL1	ENSG00000276501
ENSG00000276044	3805	KIR2DL4	ENSG00000276044
ENSG00000262164	390792	KRT39	ENSG00000262164
ENSG00000276329	3811	KIR3DL1	ENSG00000276329
ENSG00000276423	3811	KIR3DL1	ENSG00000276423
ENSG00000274920	3811	KIR3DL1	ENSG00000274920
ENSG00000277964	3805	KIR2DL4	ENSG00000277964
ENSG00000262845	125115	KRT40	ENSG00000262845
ENSG00000278368	3811	KIR3DL1	ENSG00000278368
ENSG00000275317	3805	KIR2DL4	ENSG00000275317
ENSG00000273518	3811	KIR3DL1	ENSG00000273518
ENSG00000275288	3811	KIR3DL1	ENSG00000275288
ENSG00000263101	85293	KRTAP3-3	ENSG00000263101
ENSG00000263296	83897	KRTAP3-2	ENSG00000263296
ENSG00000274948	3811	KIR3DL1	ENSG00000274948
ENSG00000274465	3813	KIR3DS1	ENSG00000274465
ENSG00000262068	83896	KRTAP3-1	ENSG00000262068
ENSG00000273757	6063	RNVU1-2A	ENSG00000273757
ENSG00000276379	3811	KIR3DL1	ENSG00000276379
ENSG00000275717	3811	KIR3DL1	ENSG00000275717
ENSG00000261862	83895	KRTAP1-5	ENSG00000261862
ENSG00000263242	728255	KRTAP1-4	ENSG00000263242
ENSG00000275974	728945	PPIAL4F	ENSG00000275974
ENSG00000262347	81850	KRTAP1-3	ENSG00000262347
ENSG00000262808	81851	KRTAP1-1	ENSG00000262808
ENSG00000274917	100008587	RNA5-8SN5	ENSG00000274917
ENSG00000261852	81872	KRTAP2-1	ENSG00000261852
ENSG00000274324	3809	KIR2DS4	ENSG00000274324
ENSG00000262731	728279		ENSG00000262731
ENSG00000262862	730755	KRTAP2-3	ENSG00000262862
ENSG00000263091	85294	KRTAP2-4	ENSG00000263091
ENSG00000274714	3809	KIR2DS4	ENSG00000274714
ENSG00000266286	100996750		ENSG00000266286
ENSG00000278758	3812	KIR3DL2	ENSG00000278758
ENSG00000261968	728224		ENSG00000261968
ENSG00000274722	3812	KIR3DL2	ENSG00000274722
ENSG00000262121	100132386	KRTAP4-9	ENSG00000262121
ENSG00000277272	3811	KIR3DL1	ENSG00000277272
ENSG00000277175	3811	KIR3DL1	ENSG00000277175
ENSG00000263229	653240	KRTAP4-11	ENSG00000263229
ENSG00000277345	3809	KIR2DS4	ENSG00000277345
ENSG00000263236	83755	KRTAP4-12	ENSG00000263236
ENSG00000276424	3812	KIR3DL2	ENSG00000276424
ENSG00000277078	3809	KIR2DS4	ENSG00000277078
ENSG00000278474	3812	KIR3DL2	ENSG00000278474
ENSG00000275938	3809	KIR2DS4	ENSG00000275938
ENSG00000278726	3812	KIR3DL2	ENSG00000278726
ENSG00000276395	3809	KIR2DS4	ENSG00000276395
ENSG00000278850	3812	KIR3DL2	ENSG00000278850
ENSG00000261958	390174	OR9G1	ENSG00000261958
ENSG00000262191	504191	OR9G9	ENSG00000262191
ENSG00000262647	283189	OR9G4	ENSG00000262647
ENSG00000274807	3809	KIR2DS4	ENSG00000274807
ENSG00000273526	3809	KIR2DS4	ENSG00000273526
ENSG00000281839	101927120	LINC02735	ENSG00000281839
ENSG00000278116	57292	KIR2DL5A	ENSG00000278116
ENSG00000275416	3812	KIR3DL2	ENSG00000275416
ENSG00000275050	7617	ZNF66	ENSG00000275050
ENSG00000275500	102725023		ENSG00000275500
ENSG00000279280	641367	CCNYL6	ENSG00000279280
ENSG00000276004	3812	KIR3DL2	ENSG00000276004
ENSG00000276327	3806	KIR2DS1	ENSG00000276327
ENSG00000274746	163227	ZNF100	ENSG00000274746
ENSG00000276882	3812	KIR3DL2	ENSG00000276882
ENSG00000274146	3811	KIR3DL1	ENSG00000274146
ENSG00000275269	2204	FCAR	ENSG00000275269
ENSG00000279112	641367	BRI3BPP1	ENSG00000279112
ENSG00000279566	7594	ZNF43	ENSG00000279566
ENSG00000281935	196385	DNAH10	ENSG00000281935
ENSG00000276465	3809	KIR2DS4	ENSG00000276465
ENSG00000278091	7639	ZNF85	ENSG00000278091
ENSG00000275786	3811	KIR3DL1	ENSG00000275786
ENSG00000282650	254528	MEIOB	ENSG00000282650
ENSG00000278710	3812	KIR3DL2	ENSG00000278710
ENSG00000282469	64735	LINC00254	ENSG00000282469
ENSG00000282069	105371048	LINC02124	ENSG00000282069
ENSG00000276333	64711	HS3ST6	ENSG00000276333
ENSG00000274406	3809	KIR2DS4	ENSG00000274406
ENSG00000263090	83899	KRTAP9-2	ENSG00000263090
ENSG00000273735	3812	KIR3DL2	ENSG00000273735
ENSG00000262749	83900	KRTAP9-3	ENSG00000262749
ENSG00000262512	85280	KRTAP9-4	ENSG00000262512
ENSG00000267728	81870		ENSG00000267728
ENSG00000275262	3812	KIR3DL2	ENSG00000275262
ENSG00000267635	100507608		ENSG00000267635
ENSG00000262218	100533177	KRTAP29-1	ENSG00000262218
ENSG00000281486	54221	SNTG2	ENSG00000281486
ENSG00000273528	79166	LILRP2	ENSG00000273528
ENSG00000281020	54221	SNTG2	ENSG00000281020
ENSG00000276595	374308	PTCHD3	ENSG00000276595
ENSG00000276084	115653	KIR3DL3	ENSG00000276084
ENSG00000277603	7173	TPO	ENSG00000277603
ENSG00000278780	80264	ZNF430	ENSG00000278780
ENSG00000274429	9231	DLG5	ENSG00000274429
ENSG00000262573	83899	KRTAP9-2	ENSG00000262573
ENSG00000262896	85280	KRTAP9-4	ENSG00000262896
ENSG00000262594	81870	KRTAP9-9	ENSG00000262594
ENSG00000274957	3809	KIR2DS4	ENSG00000274957
ENSG00000274947	3809	KIR2DS4	ENSG00000274947
ENSG00000263263	100507608	KRTAP9-6	ENSG00000263263
ENSG00000275051	9271	PIWIL1	ENSG00000275051
ENSG00000273738	2204	FCAR	ENSG00000273738
ENSG00000278442	3812	KIR3DL2	ENSG00000278442
ENSG00000262221	100505724	KRTAP9-7	ENSG00000262221
ENSG00000278361	3812	KIR3DL2	ENSG00000278361
ENSG00000262542	100533177	KRTAP29-1	ENSG00000262542
ENSG00000275035	80212	CCDC92	ENSG00000275035
ENSG00000275353	3809	KIR2DS4	ENSG00000275353
ENSG00000281157	100507524	ARHGEF26-AS1	ENSG00000281157
ENSG00000278809	3812	KIR3DL2	ENSG00000278809
ENSG00000277101	26084	ARHGEF26	ENSG00000277101
ENSG00000276985	2204	FCAR	ENSG00000276985
ENSG00000274402	3804	KIR2DL3	ENSG00000274402
ENSG00000278817	102724770		ENSG00000278817
ENSG00000277196	102724788		ENSG00000277196
ENSG00000276858	2204	FCAR	ENSG00000276858
ENSG00000282606	284241		ENSG00000282606
ENSG00000277833	3802	KIR2DL1	ENSG00000277833
ENSG00000277334	9437	NCR1	ENSG00000277334
ENSG00000282752	9150	CTDP1	ENSG00000282752
ENSG00000280759	161	AP2A2	ENSG00000280759
ENSG00000274382	5626	PROP1	ENSG00000274382
ENSG00000281775	10841	FTCD	ENSG00000281775
ENSG00000276209	3809	KIR2DS4	ENSG00000276209
ENSG00000278656	3812	KIR3DL2	ENSG00000278656
ENSG00000262102	92126	DSEL	ENSG00000262102
ENSG00000281763	170506	DHX36	ENSG00000281763
ENSG00000282112	643542		ENSG00000282112
ENSG00000275136	2204	FCAR	ENSG00000275136
ENSG00000278606	3805	KIR2DL4	ENSG00000278606
ENSG00000280541	100861507	FTCD-AS1	ENSG00000280541
ENSG00000277354	51232	CRIM1	ENSG00000277354
ENSG00000274679	84221	SPATC1L	ENSG00000274679
ENSG00000273922	79166	LILRP2	ENSG00000273922
ENSG00000276885	3809	KIR2DS4	ENSG00000276885
ENSG00000262860	26065	LSM14A	ENSG00000262860
ENSG00000276086	115653	KIR3DL3	ENSG00000276086
ENSG00000275629	3812	KIR3DL2	ENSG00000275629
ENSG00000281289	4047	LSS	ENSG00000281289
ENSG00000276256	389831		ENSG00000276256
ENSG00000277518	4588	MUC6	ENSG00000277518
ENSG00000262156	200315	APOBEC3A	ENSG00000262156
ENSG00000262156	100913187	APOBEC3A	ENSG00000262156
ENSG00000274042	647042	GOLGA6L10	ENSG00000274042
ENSG00000282734	286083		ENSG00000282734
ENSG00000278025	9437	NCR1	ENSG00000278025
ENSG00000276371	58516	SINHCAF	ENSG00000276371
ENSG00000282152	9228	DLGAP2	ENSG00000282152
ENSG00000275637	9437	NCR1	ENSG00000275637
ENSG00000282001	100507435	DLGAP2-AS1	ENSG00000282001
ENSG00000275486	3811	KIR3DL1	ENSG00000275486
ENSG00000280737	101928280	LINC02549	ENSG00000280737
ENSG00000262679	100874530	APOBEC3B-AS1	ENSG00000262679
ENSG00000274166	643707	GOLGA6L10	ENSG00000274166
ENSG00000274166	647042	GOLGA6L10	ENSG00000274166
ENSG00000273498	3805	KIR2DL4	ENSG00000273498
ENSG00000282649	105371907	SEPTIN9-DT	ENSG00000282649
ENSG00000279389	9710	GARRE1	ENSG00000279389
ENSG00000282302	10801	SEPTIN9	ENSG00000282302
ENSG00000281690	81792	ADAMTS12	ENSG00000281690
ENSG00000282176	79857		ENSG00000282176
ENSG00000282084	100134869	UBE2Q2P2	ENSG00000282084
ENSG00000277069	51289	RXFP3	ENSG00000277069
ENSG00000280765	101929297		ENSG00000280765
ENSG00000281919	51151	SLC45A2	ENSG00000281919
ENSG00000275521	9437	NCR1	ENSG00000275521
ENSG00000274296	26063	DECR2	ENSG00000274296
ENSG00000274320	440295	GOLGA6L9	ENSG00000274320
ENSG00000278728	26047	CNTNAP2	ENSG00000278728
ENSG00000280618	23191	CYFIP1	ENSG00000280618
ENSG00000280716	728339	FRG1-DT	ENSG00000280716
ENSG00000280635	5626	PROP1	ENSG00000280635
ENSG00000273666	79166	LILRP2	ENSG00000273666
ENSG00000281830	105377617		ENSG00000281830
ENSG00000275326	115677	NOSTRIN	ENSG00000275326
ENSG00000275970	2204	FCAR	ENSG00000275970
ENSG00000281151	3785	KCNQ2	ENSG00000281151
ENSG00000274394	115653	KIR3DL3	ENSG00000274394
ENSG00000280986	101929374	LINC01659	ENSG00000280986
ENSG00000274657	388882	FAM230I	ENSG00000274657
ENSG00000277442	9437	NCR1	ENSG00000277442
ENSG00000262634	220134	SKA1	ENSG00000262634
ENSG00000275351	3809	KIR2DS4	ENSG00000275351
ENSG00000261846	344752	AADACL2	ENSG00000261846
ENSG00000275083	3812	KIR3DL2	ENSG00000275083
ENSG00000276856	114791	TUBGCP5	ENSG00000276856
ENSG00000278229	6218	RPS17	ENSG00000278229
ENSG00000275522	3802	KIR2DL1	ENSG00000275522
ENSG00000278429	390535	GOLGA8EP	ENSG00000278429
ENSG00000277540	3805	KIR2DL4	ENSG00000277540
ENSG00000274404	440243	GOLGA6L22	ENSG00000274404
ENSG00000282110	5596	MAPK4	ENSG00000282110
ENSG00000273793	1850	DUSP8	ENSG00000273793
ENSG00000277909	57405	SPC25	ENSG00000277909
ENSG00000277445	64506	CPEB1	ENSG00000277445
ENSG00000281356	283796	GOLGA8IP	ENSG00000281356
ENSG00000275062	115653	KIR3DL3	ENSG00000275062
ENSG00000280807	114791	TUBGCP5	ENSG00000280807
ENSG00000281801	338651	KRTAP5-AS1	ENSG00000281801
ENSG00000275338	9727	RAB11FIP3	ENSG00000275338
ENSG00000278210	387264	KRTAP5-1	ENSG00000278210
ENSG00000278489	440021	KRTAP5-2	ENSG00000278489
ENSG00000278373	57818	G6PC2	ENSG00000278373
ENSG00000275920	387266	KRTAP5-3	ENSG00000275920
ENSG00000277068	387267	KRTAP5-4	ENSG00000277068
ENSG00000278633	101929738		ENSG00000278633
ENSG00000278633	102724151		ENSG00000278633
ENSG00000278759	6904	TBCD	ENSG00000278759
ENSG00000277291	439915	KRTAP5-5	ENSG00000277291
ENSG00000276450	9437	NCR1	ENSG00000276450
ENSG00000281733	387742	FAM99A	ENSG00000281733
ENSG00000278247	283767	GOLGA6L1	ENSG00000278247
ENSG00000281783	100132464	FAM99B	ENSG00000281783
ENSG00000275008	3804	KIR2DL3	ENSG00000275008
ENSG00000274692	3802	KIR2DL1	ENSG00000274692
ENSG00000276582	8647	ABCB11	ENSG00000276582
ENSG00000278508	100132979	GOLGA8DP	ENSG00000278508
ENSG00000278201	3805	KIR2DL4	ENSG00000278201
ENSG00000275511	3812	KIR3DL2	ENSG00000275511
ENSG00000282214	6650	CAPN15	ENSG00000282214
ENSG00000262795	3460	IFNGR2	ENSG00000262795
ENSG00000275009	283767	GOLGA6L1	ENSG00000275009
ENSG00000277033	146712	B3GNTL1	ENSG00000277033
ENSG00000282665	157697	ERICH1	ENSG00000282665
ENSG00000282103	9228		ENSG00000282103
ENSG00000277429	8293	SERF1B	ENSG00000277429
ENSG00000277429	728492	SERF1B	ENSG00000277429
ENSG00000278070	100132979	GOLGA8DP	ENSG00000278070
ENSG00000282245	401442		ENSG00000282245
ENSG00000274254	115653	KIR3DL3	ENSG00000274254
ENSG00000263160	757	TMEM50B	ENSG00000263160
ENSG00000273772	6606	SMN2	ENSG00000273772
ENSG00000273772	6607	SMN2	ENSG00000273772
ENSG00000263141	94104	PAXBP1	ENSG00000263141
ENSG00000262938	56245	C21orf62	ENSG00000262938
ENSG00000278403	3812	KIR3DL2	ENSG00000278403
ENSG00000275031	284207	METRNL	ENSG00000275031
ENSG00000262911	54943	DNAJC28	ENSG00000262911
ENSG00000274639	115653	KIR3DL3	ENSG00000274639
ENSG00000278271	3805	KIR2DL4	ENSG00000278271
ENSG00000262473	2618	GART	ENSG00000262473
ENSG00000275617	127074	OR2T4	ENSG00000275617
ENSG00000277982	3812	KIR3DL2	ENSG00000277982
ENSG00000278659	254879	OR2T6	ENSG00000278659
ENSG00000275581	8293	SERF1A	ENSG00000275581
ENSG00000273508	26696	OR2T1	ENSG00000273508
ENSG00000281300	64359	NXN	ENSG00000281300
ENSG00000275754	401992	OR2T2	ENSG00000275754
ENSG00000278501	29928	TIMM22	ENSG00000278501
ENSG00000277113	343173	OR2T3	ENSG00000277113
ENSG00000275102	401993	OR2T5	ENSG00000275102
ENSG00000276016	29	ABR	ENSG00000276016
ENSG00000276459	3804	KIR2DL3	ENSG00000276459
ENSG00000278248	3802	KIR2DL1	ENSG00000278248
ENSG00000262788	84916	UTP4	ENSG00000262788
ENSG00000275349	6606	SMN1	ENSG00000275349
ENSG00000278427	3811	KIR3DL1	ENSG00000278427
ENSG00000275456	3805	KIR2DL4	ENSG00000275456
ENSG00000282367	81490	PTDSS2	ENSG00000282367
ENSG00000276429	9651	PLCH2	ENSG00000276429
ENSG00000281758	80333	KCNIP4	ENSG00000281758
ENSG00000276068	4671	NAIP	ENSG00000276068
ENSG00000260873	6645	SNTB2	ENSG00000260873
ENSG00000280838	105374516		ENSG00000280838
ENSG00000276230	6050	RNH1	ENSG00000276230
ENSG00000278856	3811	KIR3DL1	ENSG00000278856
ENSG00000277848	84465	MEGF11	ENSG00000277848
ENSG00000273494	55229	PANK4	ENSG00000273494
ENSG00000280592	401289	LINC01624	ENSG00000280592
ENSG00000280883	285804		ENSG00000280883
ENSG00000275555	28514	DLL1	ENSG00000275555
ENSG00000275517	5542	PRB1	ENSG00000275517
ENSG00000275731	3809	KIR2DS4	ENSG00000275731
ENSG00000275333	84498	FAM120B	ENSG00000275333
ENSG00000275626	3812	KIR3DL2	ENSG00000275626
ENSG00000276910	2966	GTF2H2	ENSG00000276910
ENSG00000276910	728340	GTF2H2	ENSG00000276910
ENSG00000281580	401164	LINC01060	ENSG00000281580
ENSG00000274112	91689	SMDT1	ENSG00000274112
ENSG00000273529	388585	HES5	ENSG00000273529
ENSG00000277365	4700	NDUFA6	ENSG00000277365
ENSG00000272901	91689	SMDT1	ENSG00000272901
ENSG00000272765	4700	NDUFA6	ENSG00000272765
ENSG00000276154	3809	KIR2DS4	ENSG00000276154
ENSG00000276357	3812	KIR3DL2	ENSG00000276357
ENSG00000273936	8764	TNFRSF14	ENSG00000273936
ENSG00000278114	200958	MUC20	ENSG00000278114
ENSG00000263181	1564	CYP2D7	ENSG00000263181
ENSG00000281184	5689	PSMB1	ENSG00000281184
ENSG00000276536	3265	HRAS	ENSG00000276536
ENSG00000278165	1850	DUSP8	ENSG00000278165
ENSG00000275430	200958	MUC20	ENSG00000275430
ENSG00000275211	1565	CYP2D6	ENSG00000275211
ENSG00000275211	107987478	CYP2D6	ENSG00000275211
ENSG00000275211	107987479	CYP2D6	ENSG00000275211
ENSG00000281176	338651	KRTAP5-AS1	ENSG00000281176
ENSG00000278468	4585	MUC4	ENSG00000278468
ENSG00000277278	8924	HERC2	ENSG00000277278
ENSG00000280585	387264	KRTAP5-1	ENSG00000280585
ENSG00000281533	440021	KRTAP5-2	ENSG00000281533
ENSG00000281191	387266	KRTAP5-3	ENSG00000281191
ENSG00000278620	387267	KRTAP5-4	ENSG00000278620
ENSG00000281630	200958	MUC20	ENSG00000281630
ENSG00000276613	4585	MUC4	ENSG00000276613
ENSG00000278302	439915	KRTAP5-5	ENSG00000278302
ENSG00000281019	100506688		ENSG00000281019
ENSG00000274843	200958	MUC20	ENSG00000274843
ENSG00000281261	387742	FAM99A	ENSG00000281261
ENSG00000276920	85409	NKD2	ENSG00000276920
ENSG00000281829	100132464	FAM99B	ENSG00000281829
ENSG00000276455	645202		ENSG00000276455
ENSG00000277389	440023	KRTAP5-6	ENSG00000277389
ENSG00000281618	402778	IFITM10	ENSG00000281618
ENSG00000276896	100132565	GOLGA8F	ENSG00000276896
ENSG00000273831	115399	LRRC56	ENSG00000273831
ENSG00000262024	6942	TCF20	ENSG00000262024
ENSG00000273984	4585	MUC4	ENSG00000273984
ENSG00000273822	4585	MUC4	ENSG00000273822
ENSG00000275873	256329	LMNTD2	ENSG00000275873
ENSG00000276482	10723	SLC12A7	ENSG00000276482
ENSG00000272835	91689	SMDT1	ENSG00000272835
ENSG00000273651	283768	GOLGA8G	ENSG00000273651
ENSG00000275125	127281	PRXL2B	ENSG00000275125
ENSG00000273397	4700	NDUFA6	ENSG00000273397
ENSG00000278088	1564	CYP2D7	ENSG00000278088
ENSG00000282005	692247	LMNTD2-AS1	ENSG00000282005
ENSG00000273859	8045	RASSF7	ENSG00000273859
ENSG00000277753	200958	MUC20	ENSG00000277753
ENSG00000278303	4585	MUC4	ENSG00000278303
ENSG00000272532	1565	CYP2D6	ENSG00000272532
ENSG00000272532	107987478	CYP2D6	ENSG00000272532
ENSG00000272532	107987479	CYP2D6	ENSG00000272532
ENSG00000274780	57661	PHRF1	ENSG00000274780
ENSG00000278550	124935	SLC43A2	ENSG00000278550
ENSG00000277131	79258	MMEL1	ENSG00000277131
ENSG00000276485	100132202		ENSG00000276485
ENSG00000280840	5370	PMCHL2	ENSG00000280840
ENSG00000275577	284415	VSTM1	ENSG00000275577
ENSG00000276461	6942	TCF20	ENSG00000276461
ENSG00000280619	107987420		ENSG00000280619
ENSG00000280619	107987434		ENSG00000280619
ENSG00000274803	55814	BDP1	ENSG00000274803
ENSG00000275384	441864	TARM1	ENSG00000275384
ENSG00000275644	126014	OSCAR	ENSG00000275644
ENSG00000276336	8578	SCARF1	ENSG00000276336
ENSG00000275571	100287898	TTC34	ENSG00000275571
ENSG00000277607	284415	VSTM1	ENSG00000277607
ENSG00000276066	284415	VSTM1	ENSG00000276066
ENSG00000276220	4696	NDUFA3	ENSG00000276220
ENSG00000276323	29844	TFPT	ENSG00000276323
ENSG00000275117	26121	PRPF31	ENSG00000275117
ENSG00000281742	64087	MCCC2	ENSG00000281742
ENSG00000276561	3665	IRF7	ENSG00000276561
ENSG00000274176	4849	CNOT3	ENSG00000274176
ENSG00000273875	441864	TARM1	ENSG00000273875
ENSG00000274145	83547	RILP	ENSG00000274145
ENSG00000278378	126014	OSCAR	ENSG00000278378
ENSG00000262851	219464	OR5T2	ENSG00000262851
ENSG00000277178	441864	TARM1	ENSG00000277178
ENSG00000261897	390154	OR5T3	ENSG00000261897
ENSG00000262784	390155	OR5T1	ENSG00000262784
ENSG00000278533	126014	OSCAR	ENSG00000278533
ENSG00000262611	219469	OR8H1	ENSG00000262611
ENSG00000262755	219473	OR8K3	ENSG00000262755
ENSG00000274442	10594	PRPF8	ENSG00000274442
ENSG00000263328	390157	OR8K1	ENSG00000263328
ENSG00000276774	79165	LENG1	ENSG00000276774
ENSG00000280552	101927829		ENSG00000280552
ENSG00000276260	147798	TMC4	ENSG00000276260
ENSG00000262796	219477	OR8J1	ENSG00000262796
ENSG00000262315	504189	OR8U8	ENSG00000262315
ENSG00000281038	504190	OR8U9	ENSG00000281038
ENSG00000274195	100131980	ZNF705G	ENSG00000274195
ENSG00000277722	4696	NDUFA3	ENSG00000277722
ENSG00000276766	4696	NDUFA3	ENSG00000276766
ENSG00000275444	1673	DEFB4B	ENSG00000275444
ENSG00000275444	100289462	DEFB4B	ENSG00000275444
ENSG00000276263	29844	TFPT	ENSG00000276263
ENSG00000276022	29844	TFPT	ENSG00000276022
ENSG00000278322	79143	MBOAT7	ENSG00000278322
ENSG00000273641	55894	DEFB103B	ENSG00000273641
ENSG00000274651	26121	PRPF31	ENSG00000274651
